CustomerID,Recency,Frequency,Monetary,CustLocation
C1010037,93,1,19680.0,BANGALORE
C1010075,86,1,350.0,BANGALORE
C1010135,123,1,457.0,BANGALORE
C1010214,74,1,168.0,BANGALORE
C1010232,107,1,96.12,BANGALORE
C1010238,216,1,4615.0,BANGALORE
C1010247,31,2,3390.0,BANGALORE
C1010250,62,2,695.0,BANGALORE
C1010274,32,1,124.18,BANGALORE
C1010286,31,1,789.73,BANGALORE
C1010357,86,1,843.0,BANGALORE
C1010414,111,2,2200.0,BANGALORE
C1010424,116,1,275.0,BANGALORE
C1010541,111,1,3505.0,BANGALORE
C1010635,114,1,200.0,BANGALORE
C1010641,245,2,440.0,BANGALORE
C1010652,154,2,740.0,BANGALORE
C1010652,154,2,740.0,BANGALORE
C1010684,32,1,197.0,BANGALORE
C1010723,336,1,484.0,BANGALORE
C1010725,306,1,189.0,BANGALORE
C1010753,118,1,413.0,BANGALORE
C1010782,31,3,800.0,BANGALORE
C1010814,215,2,375.0,BANGALORE
C1010826,107,2,980.0,BANGALORE
C1010891,104,2,2587.0,BANGALORE
C1010923,184,1,117.0,BANGALORE
C1010926,216,1,4181.0,BANGALORE
C1010927,124,2,2500.0,BANGALORE
C1010943,155,1,1070.0,BANGALORE
C1010951,87,1,154.0,BANGALORE
C1011040,113,1,150.0,BANGALORE
C1011067,87,1,100.0,BANGALORE
C1011131,118,1,440.0,BANGALORE
C1011146,107,1,1147.0,BANGALORE
C1011225,102,1,424.0,BANGALORE
C1011249,75,2,275.0,BANGALORE
C1011315,119,1,900.0,BANGALORE
C1011336,185,1,272.0,BANGALORE
C1011360,246,1,6800.0,BANGALORE
C1011416,245,1,950.0,BANGALORE
C1011446,1,2,666.0,BANGALORE
C1011515,184,2,550.0,BANGALORE
C1011546,115,2,1182.24,BANGALORE
C1011553,83,3,1268.0,BANGALORE
C1011579,87,2,1200.0,BANGALORE
C1011635,112,3,1463.0,BANGALORE
C1011673,63,1,100.0,BANGALORE
C1011688,2,2,297.0,BANGALORE
C1011761,245,1,559.52,BANGALORE
C1011851,74,1,1149.0,BANGALORE
C1011870,306,1,1512.75,BANGALORE
C1011911,110,2,300.0,BANGALORE
C1011935,76,1,1381.73,BANGALORE
C1011982,112,3,7892.0,BANGALORE
C1012029,63,1,380.0,BANGALORE
C1012076,63,1,1283.0,BANGALORE
C1012130,75,1,2333.0,BANGALORE
C1012211,117,1,102.0,BANGALORE
C1012261,155,1,1375.0,BANGALORE
C1012371,155,1,500.0,BANGALORE
C1012372,75,2,1115.0,BANGALORE
C1012425,118,1,30.0,BANGALORE
C1012451,92,1,1000.0,BANGALORE
C1012452,87,1,131.0,BANGALORE
C1012474,104,1,241.0,BANGALORE
C1012532,305,1,1296.0,BANGALORE
C1012573,83,2,3320.0,BANGALORE
C1012622,63,2,200.0,BANGALORE
C1012622,63,2,200.0,BANGALORE
C1012679,63,3,12100.52,BANGALORE
C1012685,118,3,1797.0,BANGALORE
C1012823,216,1,66.27,BANGALORE
C1012824,123,1,190.0,BANGALORE
C1012861,216,2,1200.0,BANGALORE
C1012883,111,1,700.0,BANGALORE
C1012918,117,1,360.0,BANGALORE
