CustomerID,Recency,Frequency,Monetary,CustLocation
C1010028,103,1,557.0,DELHI
C1010041,62,3,14500.0,DELHI
C1010050,119,1,248.0,DELHI
C1010064,216,1,3000.0,DELHI
C1010130,87,1,2197.0,DELHI
C1010181,88,1,188.0,DELHI
C1010190,31,1,9000.0,DELHI
C1010217,86,1,510.0,DELHI
C1010337,87,1,1217.33,DELHI
C1010412,116,1,433.0,DELHI
C1010414,111,2,2200.0,DELHI
C1010425,74,1,658.0,DELHI
C1010429,215,1,334.0,DELHI
C1010438,336,1,830.0,DELHI
C1010461,75,1,1000.0,DELHI
C1010491,276,1,250.0,DELHI
C1010549,154,1,207.0,DELHI
C1010589,86,1,1298.0,DELHI
C1010613,83,2,18700.0,DELHI
C1010616,74,1,439.0,DELHI
C1010648,337,1,53.0,DELHI
C1010660,62,3,2000.0,DELHI
C1010670,305,1,950.0,DELHI
C1010675,216,1,500.0,DELHI
C1010680,216,1,2500.0,DELHI
C1010690,63,2,1000.0,DELHI
C1010816,113,1,650.0,DELHI
C1010826,107,2,980.0,DELHI
C1010921,109,2,1170.0,DELHI
C1010965,83,2,200.0,DELHI
C1011112,105,4,1300.0,DELHI
C1011213,101,3,804.0,DELHI
C1011233,184,1,400.0,DELHI
C1011252,337,1,20.0,DELHI
C1011278,92,2,1550.0,DELHI
C1011319,62,1,11300.0,DELHI
C1011337,113,2,151.0,DELHI
C1011340,111,2,606.9,DELHI
C1011384,2,1,8000.0,DELHI
C1011564,276,1,20.0,DELHI
C1011631,112,1,795.0,DELHI
C1011716,31,2,800.0,DELHI
C1011716,31,2,800.0,DELHI
C1011728,216,1,958.0,DELHI
C1011744,215,1,937.0,DELHI
C1011763,103,1,170.0,DELHI
C1011765,109,1,1045.0,DELHI
C1011777,93,1,300.0,DELHI
C1011811,104,1,0.97,DELHI
C1011968,215,1,175.0,DELHI
C1012023,102,2,83.0,DELHI
C1012082,119,1,100.0,DELHI
C1012112,62,2,1230.0,DELHI
C1012144,62,1,300.0,DELHI
C1012249,108,3,1000.0,DELHI
C1012250,106,1,819.0,DELHI
C1012252,62,1,570.0,DELHI
