CustomerID,Recency,Frequency,Monetary,CustLocation
C1010036,106,1,208.0,GURGAON
C1010046,105,2,156658.74,GURGAON
C1010068,63,1,546.0,GURGAON
C1010089,102,3,3397.0,GURGAON
C1010112,305,1,1318.5,GURGAON
C1010220,2,1,550.0,GURGAON
C1010230,31,1,1823.0,GURGAON
C1010243,277,2,676.0,GURGAON
C1010247,31,2,3390.0,GURGAON
C1010372,86,2,145.0,GURGAON
C1010484,109,1,33.0,GURGAON
C1010547,155,2,4746.0,GURGAON
C1010558,87,1,2000.0,GURGAON
C1010622,155,2,200.0,GURGAON
C1010642,246,1,99.0,GURGAON
C1010660,62,3,2000.0,GURGAON
C1010689,115,1,300.0,GURGAON
C1010739,88,1,258.9,GURGAON
C1010922,108,1,3200.0,GURGAON
C1011027,118,2,911.0,GURGAON
C1011046,124,2,1500.0,GURGAON
C1011112,105,4,1300.0,GURGAON
C1011259,155,1,349.0,GURGAON
C1011337,113,2,151.0,GURGAON
C1011341,306,1,100.0,GURGAON
C1011345,115,1,1012.0,GURGAON
C1011522,113,1,100.0,GURGAON
C1011533,111,1,50.0,GURGAON
C1011542,306,1,1895.0,GURGAON
C1011559,106,1,489.0,GURGAON
C1011569,1,2,743.99,GURGAON
C1011643,105,1,1112.0,GURGAON
C1011688,2,2,297.0,GURGAON
C1011732,110,1,198.0,GURGAON
C1011774,86,2,15746.0,GURGAON
C1011882,2,2,2250.0,GURGAON
C1011886,118,1,450.0,GURGAON
C1012019,75,2,788.0,GURGAON
C1012021,245,1,110.0,GURGAON
C1012041,107,1,100.0,GURGAON
C1012047,215,1,110.0,GURGAON
C1012060,154,1,200.0,GURGAON
C1012089,63,1,448.0,GURGAON
C1012228,124,1,50.0,GURGAON
C1012235,63,1,30.0,GURGAON
C1012329,118,1,510.0,GURGAON
C1012358,106,1,366.0,GURGAON
C1012366,104,1,271.0,GURGAON
C1012412,117,1,400.0,GURGAON
C1012421,50,1,10.0,GURGAON
C1012427,118,1,297.0,GURGAON
C1012449,88,1,100.0,GURGAON
