CustomerID,Recency,Frequency,Monetary,CustLocation
C1010012,118,1,1499.0,MUMBAI
C1010014,155,2,1205.0,MUMBAI
C1010014,155,2,1205.0,MUMBAI
C1010035,105,2,700.0,MUMBAI
C1010060,105,1,16000.0,MUMBAI
C1010078,337,1,124.0,MUMBAI
C1010087,32,1,42.0,MUMBAI
C1010168,62,1,50.0,MUMBAI
C1010224,116,1,835.5,MUMBAI
C1010273,63,1,1040.0,MUMBAI
C1010334,106,1,1165.0,MUMBAI
C1010384,110,3,2400.0,MUMBAI
C1010512,2,1,1783.0,MUMBAI
C1010752,112,1,756.0,MUMBAI
C1010757,103,2,3200.0,MUMBAI
C1010779,93,1,3000.0,MUMBAI
C1010782,31,3,800.0,MUMBAI
C1010814,215,2,375.0,MUMBAI
C1010828,116,1,63.0,MUMBAI
C1010833,185,1,520.0,MUMBAI
C1010863,155,1,319.0,MUMBAI
C1010878,1,2,1300.0,MUMBAI
C1010878,1,2,1300.0,MUMBAI
C1010915,117,1,415.55,MUMBAI
C1010921,109,2,1170.0,MUMBAI
C1010933,216,1,360.0,MUMBAI
C1010936,337,1,511.0,MUMBAI
C1010953,118,1,360.0,MUMBAI
C1010958,216,1,25.0,MUMBAI
C1011027,118,2,911.0,MUMBAI
C1011048,216,1,400.0,MUMBAI
C1011140,83,2,1591.0,MUMBAI
C1011151,88,3,2399.0,MUMBAI
C1011154,114,1,3047.5,MUMBAI
C1011163,105,2,180.0,MUMBAI
C1011243,110,1,550.0,MUMBAI
C1011253,88,1,120.0,MUMBAI
C1011266,31,1,10000.0,MUMBAI
C1011273,155,1,15.25,MUMBAI
C1011346,306,1,700.0,MUMBAI
C1011370,106,2,100.0,MUMBAI
C1011383,185,1,1000.0,MUMBAI
C1011387,83,1,1512.0,MUMBAI
C1011580,245,1,506.0,MUMBAI
C1011588,110,2,579.3,MUMBAI
C1011623,31,2,1490.0,MUMBAI
C1011625,119,1,1920.0,MUMBAI
C1011635,112,3,1463.0,MUMBAI
C1011672,104,1,890.27,MUMBAI
C1011868,111,1,710.0,MUMBAI
C1011869,337,1,1225.0,MUMBAI
C1011882,2,2,2250.0,MUMBAI
C1011974,83,1,250.0,MUMBAI
C1012067,63,1,100.0,MUMBAI
C1012075,185,1,5702.0,MUMBAI
C1012083,123,1,850.0,MUMBAI
C1012126,115,1,527.0,MUMBAI
C1012129,31,2,150.0,MUMBAI
C1012145,119,1,120.0,MUMBAI
C1012159,63,1,2500.0,MUMBAI
C1012160,119,2,1210.0,MUMBAI
C1012219,116,1,200.0,MUMBAI
C1012237,118,1,7639.0,MUMBAI
C1012259,31,1,500.0,MUMBAI
C1012280,184,1,280.0,MUMBAI
C1012318,119,1,263.22,MUMBAI
C1012327,306,1,4980.0,MUMBAI
C1012330,305,1,100.0,MUMBAI
C1012369,101,1,200.0,MUMBAI
C1012448,79,1,220.0,MUMBAI
C1012477,215,1,190.0,MUMBAI
C1012512,109,1,900.0,MUMBAI
C1012572,31,1,270.0,MUMBAI
C1012620,184,1,280.0,MUMBAI
C1012691,116,1,30.0,MUMBAI
C1012758,109,2,2083.0,MUMBAI
