CustomerID,Recency,Frequency,Monetary,CustLocation
C1010011,75,2,4750.0,NEW DELHI
C1010046,105,2,156658.74,NEW DELHI
C1010071,106,1,1121.0,NEW DELHI
C1010074,123,1,6800.0,NEW DELHI
C1010350,101,1,46.0,NEW DELHI
C1010366,117,3,1587.0,NEW DELHI
C1010384,110,3,2400.0,NEW DELHI
C1010437,1,1,108.0,NEW DELHI
C1010440,103,2,282.0,NEW DELHI
C1010450,116,1,633.33,NEW DELHI
C1010522,88,1,5090.0,NEW DELHI
C1010547,155,2,4746.0,NEW DELHI
C1010660,62,3,2000.0,NEW DELHI
C1010729,104,1,1185.0,NEW DELHI
C1010734,119,1,297.0,NEW DELHI
C1010767,155,1,113.0,NEW DELHI
C1010885,336,1,119.0,NEW DELHI
C1010927,124,2,2500.0,NEW DELHI
C1010931,31,1,1599.0,NEW DELHI
C1010977,74,2,800.0,NEW DELHI
C1010977,74,2,800.0,NEW DELHI
C1011188,105,1,200.0,NEW DELHI
C1011343,245,1,420.0,NEW DELHI
C1011475,215,1,9999.0,NEW DELHI
C1011511,154,1,500.0,NEW DELHI
C1011541,75,2,3150.0,NEW DELHI
C1011574,336,1,50.0,NEW DELHI
C1011626,101,1,462.0,NEW DELHI
C1011635,112,3,1463.0,NEW DELHI
C1011639,92,1,800.0,NEW DELHI
C1011683,216,1,300.0,NEW DELHI
C1011692,337,1,9103.7,NEW DELHI
C1011721,86,1,300.0,NEW DELHI
C1011730,107,2,1000.0,NEW DELHI
C1011738,93,2,1000.0,NEW DELHI
C1011775,337,1,560.0,NEW DELHI
C1011820,106,1,2940.0,NEW DELHI
C1011875,1,1,244.0,NEW DELHI
C1012040,88,1,100.0,NEW DELHI
C1012046,1,1,51.0,NEW DELHI
C1012053,104,1,349.0,NEW DELHI
C1012131,216,1,67.0,NEW DELHI
C1012151,62,2,2000.0,NEW DELHI
C1012225,102,2,4999.0,NEW DELHI
C1012242,87,1,240.0,NEW DELHI
C1012372,75,2,1115.0,NEW DELHI
C1012432,306,1,745.0,NEW DELHI
C1012467,62,1,500.0,NEW DELHI
C1012476,74,1,500.0,NEW DELHI
C1012578,75,1,383.0,NEW DELHI
C1012619,111,2,590.0,NEW DELHI
C1012662,87,2,549.0,NEW DELHI
C1012679,63,3,12100.52,NEW DELHI
C1012685,118,3,1797.0,NEW DELHI
C1012714,306,1,2485.0,NEW DELHI
C1012716,106,1,1000.0,NEW DELHI
C1012754,336,2,1410.6,NEW DELHI
C1012754,336,2,1410.6,NEW DELHI
C1012769,245,1,750.0,NEW DELHI
C1012774,76,1,1120.0,NEW DELHI
C1012844,78,1,250.0,NEW DELHI
C1012850,118,1,500.0,NEW DELHI
C1012859,155,2,668.0,NEW DELHI
C1012888,79,2,1714.62,NEW DELHI
